
--- Batch Structural Run Starting at 2026-03-31 15:39:27 ---
SUCCESS:  20181208/20181208/user3/user3-2-5-3-5_doppler.npz processed into user3-2-5-3-5_bvp.npz | Execution Duration: [8.11s]
SUCCESS:  20181208/20181208/user3/user3-3-4-2-1_doppler.npz processed into user3-3-4-2-1_bvp.npz | Execution Duration: [5.58s]
SUCCESS:  20181208/20181208/user3/user3-1-1-2-5_doppler.npz processed into user3-1-1-2-5_bvp.npz | Execution Duration: [5.83s]
SUCCESS:  20181208/20181208/user3/user3-3-2-2-4_doppler.npz processed into user3-3-2-2-4_bvp.npz | Execution Duration: [5.88s]
SUCCESS:  20181208/20181208/user3/user3-3-3-5-3_doppler.npz processed into user3-3-3-5-3_bvp.npz | Execution Duration: [4.66s]
SUCCESS:  20181208/20181208/user3/user3-1-3-1-5_doppler.npz processed into user3-1-3-1-5_bvp.npz | Execution Duration: [6.66s]
SUCCESS:  20181208/20181208/user3/user3-1-3-3-3_doppler.npz processed into user3-1-3-3-3_bvp.npz | Execution Duration: [6.55s]
SUCCESS:  20181208/20181208/user3/user3-3-5-4-4_doppler.npz processed into user3-3-5-4-4_bvp.npz | Execution Duration: [4.36s]
SUCCESS:  20181208/20181208/user3/user3-3-5-2-2_doppler.npz processed into user3-3-5-2-2_bvp.npz | Execution Duration: [5.29s]
SUCCESS:  20181208/20181208/user3/user3-2-5-3-4_doppler.npz processed into user3-2-5-3-4_bvp.npz | Execution Duration: [8.43s]
SUCCESS:  20181208/20181208/user3/user3-2-4-2-5_doppler.npz processed into user3-2-4-2-5_bvp.npz | Execution Duration: [7.43s]
SUCCESS:  20181208/20181208/user3/user3-3-3-2-1_doppler.npz processed into user3-3-3-2-1_bvp.npz | Execution Duration: [4.53s]
SUCCESS:  20181208/20181208/user3/user3-3-3-4-1_doppler.npz processed into user3-3-3-4-1_bvp.npz | Execution Duration: [4.05s]
SUCCESS:  20181208/20181208/user3/user3-2-2-3-3_doppler.npz processed into user3-2-2-3-3_bvp.npz | Execution Duration: [9.67s]
SUCCESS:  20181208/20181208/user3/user3-1-2-2-1_doppler.npz processed into user3-1-2-2-1_bvp.npz | Execution Duration: [6.54s]
SUCCESS:  20181208/20181208/user3/user3-3-3-5-5_doppler.npz processed into user3-3-3-5-5_bvp.npz | Execution Duration: [4.73s]
SUCCESS:  20181208/20181208/user3/user3-3-2-1-4_doppler.npz processed into user3-3-2-1-4_bvp.npz | Execution Duration: [4.80s]
