
--- BAP Native Batch Execution Starting at 2026-03-31 17:24:16 ---
SUCCESS: 20181208/20181208/user3/user3-2-5-3-5_doppler.npz -> user3-2-5-3-5_bap.npz | File Time: [16.02s] | Cumulative Runtime: [16.02s]
SUCCESS: 20181208/20181208/user3/user3-3-4-2-1_doppler.npz -> user3-3-4-2-1_bap.npz | File Time: [9.35s] | Cumulative Runtime: [25.37s]
SUCCESS: 20181208/20181208/user3/user3-1-1-2-5_doppler.npz -> user3-1-1-2-5_bap.npz | File Time: [11.02s] | Cumulative Runtime: [36.39s]
SUCCESS: 20181208/20181208/user3/user3-3-2-2-4_doppler.npz -> user3-3-2-2-4_bap.npz | File Time: [11.96s] | Cumulative Runtime: [48.35s]
SUCCESS: 20181208/20181208/user3/user3-3-3-5-3_doppler.npz -> user3-3-3-5-3_bap.npz | File Time: [9.99s] | Cumulative Runtime: [58.34s]
SUCCESS: 20181208/20181208/user3/user3-1-3-1-5_doppler.npz -> user3-1-3-1-5_bap.npz | File Time: [11.81s] | Cumulative Runtime: [70.15s]
SUCCESS: 20181208/20181208/user3/user3-1-3-3-3_doppler.npz -> user3-1-3-3-3_bap.npz | File Time: [12.25s] | Cumulative Runtime: [82.40s]
SUCCESS: 20181208/20181208/user3/user3-3-5-4-4_doppler.npz -> user3-3-5-4-4_bap.npz | File Time: [9.15s] | Cumulative Runtime: [91.55s]
SUCCESS: 20181208/20181208/user3/user3-3-5-2-2_doppler.npz -> user3-3-5-2-2_bap.npz | File Time: [10.14s] | Cumulative Runtime: [101.69s]
SUCCESS: 20181208/20181208/user3/user3-2-5-3-4_doppler.npz -> user3-2-5-3-4_bap.npz | File Time: [17.55s] | Cumulative Runtime: [119.24s]
SUCCESS: 20181208/20181208/user3/user3-2-4-2-5_doppler.npz -> user3-2-4-2-5_bap.npz | File Time: [15.04s] | Cumulative Runtime: [134.28s]
SUCCESS: 20181208/20181208/user3/user3-3-3-2-1_doppler.npz -> user3-3-3-2-1_bap.npz | File Time: [8.48s] | Cumulative Runtime: [142.77s]
SUCCESS: 20181208/20181208/user3/user3-3-3-4-1_doppler.npz -> user3-3-3-4-1_bap.npz | File Time: [8.32s] | Cumulative Runtime: [151.09s]
SUCCESS: 20181208/20181208/user3/user3-2-2-3-3_doppler.npz -> user3-2-2-3-3_bap.npz | File Time: [19.91s] | Cumulative Runtime: [171.00s]
SUCCESS: 20181208/20181208/user3/user3-1-2-2-1_doppler.npz -> user3-1-2-2-1_bap.npz | File Time: [12.48s] | Cumulative Runtime: [183.48s]
SUCCESS: 20181208/20181208/user3/user3-3-3-5-5_doppler.npz -> user3-3-3-5-5_bap.npz | File Time: [9.30s] | Cumulative Runtime: [192.78s]
SUCCESS: 20181208/20181208/user3/user3-3-2-1-4_doppler.npz -> user3-3-2-1-4_bap.npz | File Time: [9.17s] | Cumulative Runtime: [201.96s]
SUCCESS: 20181208/20181208/user3/user3-1-4-5-2_doppler.npz -> user3-1-4-5-2_bap.npz | File Time: [13.55s] | Cumulative Runtime: [215.51s]
SUCCESS: 20181208/20181208/user3/user3-1-2-5-5_doppler.npz -> user3-1-2-5-5_bap.npz | File Time: [15.06s] | Cumulative Runtime: [230.57s]
SUCCESS: 20181208/20181208/user3/user3-2-4-1-1_doppler.npz -> user3-2-4-1-1_bap.npz | File Time: [14.63s] | Cumulative Runtime: [245.20s]
SUCCESS: 20181208/20181208/user3/user3-2-2-4-2_doppler.npz -> user3-2-2-4-2_bap.npz | File Time: [16.86s] | Cumulative Runtime: [262.06s]
SUCCESS: 20181208/20181208/user3/user3-3-4-4-3_doppler.npz -> user3-3-4-4-3_bap.npz | File Time: [10.75s] | Cumulative Runtime: [272.81s]
SUCCESS: 20181208/20181208/user3/user3-3-1-2-2_doppler.npz -> user3-3-1-2-2_bap.npz | File Time: [11.15s] | Cumulative Runtime: [283.95s]
SUCCESS: 20181208/20181208/user3/user3-1-3-5-2_doppler.npz -> user3-1-3-5-2_bap.npz | File Time: [12.38s] | Cumulative Runtime: [296.33s]
SUCCESS: 20181208/20181208/user3/user3-3-4-3-2_doppler.npz -> user3-3-4-3-2_bap.npz | File Time: [9.69s] | Cumulative Runtime: [306.02s]
SUCCESS: 20181208/20181208/user3/user3-1-3-4-5_doppler.npz -> user3-1-3-4-5_bap.npz | File Time: [14.53s] | Cumulative Runtime: [320.55s]
SUCCESS: 20181208/20181208/user3/user3-2-2-2-3_doppler.npz -> user3-2-2-2-3_bap.npz | File Time: [17.94s] | Cumulative Runtime: [338.49s]
SUCCESS: 20181208/20181208/user3/user3-1-2-1-5_doppler.npz -> user3-1-2-1-5_bap.npz | File Time: [13.51s] | Cumulative Runtime: [352.00s]
SUCCESS: 20181208/20181208/user3/user3-2-5-2-4_doppler.npz -> user3-2-5-2-4_bap.npz | File Time: [17.27s] | Cumulative Runtime: [369.27s]
SUCCESS: 20181208/20181208/user3/user3-3-3-5-4_doppler.npz -> user3-3-3-5-4_bap.npz | File Time: [9.30s] | Cumulative Runtime: [378.57s]
SUCCESS: 20181208/20181208/user3/user3-3-3-4-4_doppler.npz -> user3-3-3-4-4_bap.npz | File Time: [10.02s] | Cumulative Runtime: [388.58s]
SUCCESS: 20181208/20181208/user3/user3-1-3-5-3_doppler.npz -> user3-1-3-5-3_bap.npz | File Time: [11.62s] | Cumulative Runtime: [400.20s]
SUCCESS: 20181208/20181208/user3/user3-1-1-4-3_doppler.npz -> user3-1-1-4-3_bap.npz | File Time: [11.06s] | Cumulative Runtime: [411.26s]
SUCCESS: 20181208/20181208/user3/user3-2-4-5-5_doppler.npz -> user3-2-4-5-5_bap.npz | File Time: [16.83s] | Cumulative Runtime: [428.09s]
SUCCESS: 20181208/20181208/user3/user3-3-4-5-5_doppler.npz -> user3-3-4-5-5_bap.npz | File Time: [10.21s] | Cumulative Runtime: [438.30s]
SUCCESS: 20181208/20181208/user3/user3-2-3-5-3_doppler.npz -> user3-2-3-5-3_bap.npz | File Time: [15.45s] | Cumulative Runtime: [453.75s]
SUCCESS: 20181208/20181208/user3/user3-2-3-2-2_doppler.npz -> user3-2-3-2-2_bap.npz | File Time: [16.43s] | Cumulative Runtime: [470.17s]
SUCCESS: 20181208/20181208/user3/user3-1-4-2-2_doppler.npz -> user3-1-4-2-2_bap.npz | File Time: [14.51s] | Cumulative Runtime: [484.69s]
SUCCESS: 20181208/20181208/user3/user3-2-2-2-4_doppler.npz -> user3-2-2-2-4_bap.npz | File Time: [17.64s] | Cumulative Runtime: [502.33s]
SUCCESS: 20181208/20181208/user3/user3-2-4-4-4_doppler.npz -> user3-2-4-4-4_bap.npz | File Time: [16.99s] | Cumulative Runtime: [519.33s]
SUCCESS: 20181208/20181208/user3/user3-2-5-5-2_doppler.npz -> user3-2-5-5-2_bap.npz | File Time: [17.05s] | Cumulative Runtime: [536.38s]
SUCCESS: 20181208/20181208/user3/user3-1-4-2-4_doppler.npz -> user3-1-4-2-4_bap.npz | File Time: [11.61s] | Cumulative Runtime: [547.99s]
SUCCESS: 20181208/20181208/user3/user3-1-5-1-5_doppler.npz -> user3-1-5-1-5_bap.npz | File Time: [15.38s] | Cumulative Runtime: [563.37s]
SUCCESS: 20181208/20181208/user3/user3-3-3-5-1_doppler.npz -> user3-3-3-5-1_bap.npz | File Time: [7.02s] | Cumulative Runtime: [570.39s]
SUCCESS: 20181208/20181208/user3/user3-1-3-4-1_doppler.npz -> user3-1-3-4-1_bap.npz | File Time: [12.50s] | Cumulative Runtime: [582.89s]
SUCCESS: 20181208/20181208/user3/user3-3-3-3-1_doppler.npz -> user3-3-3-3-1_bap.npz | File Time: [7.83s] | Cumulative Runtime: [590.72s]
SUCCESS: 20181208/20181208/user3/user3-2-1-4-4_doppler.npz -> user3-2-1-4-4_bap.npz | File Time: [16.84s] | Cumulative Runtime: [607.56s]
SUCCESS: 20181208/20181208/user3/user3-2-4-4-2_doppler.npz -> user3-2-4-4-2_bap.npz | File Time: [16.55s] | Cumulative Runtime: [624.10s]
SUCCESS: 20181208/20181208/user3/user3-3-5-5-3_doppler.npz -> user3-3-5-5-3_bap.npz | File Time: [8.46s] | Cumulative Runtime: [632.57s]
SUCCESS: 20181208/20181208/user3/user3-2-3-3-3_doppler.npz -> user3-2-3-3-3_bap.npz | File Time: [18.28s] | Cumulative Runtime: [650.85s]
SUCCESS: 20181208/20181208/user3/user3-1-4-3-3_doppler.npz -> user3-1-4-3-3_bap.npz | File Time: [13.04s] | Cumulative Runtime: [663.89s]
SUCCESS: 20181208/20181208/user3/user3-3-5-4-2_doppler.npz -> user3-3-5-4-2_bap.npz | File Time: [11.21s] | Cumulative Runtime: [675.10s]
SUCCESS: 20181208/20181208/user3/user3-3-2-5-2_doppler.npz -> user3-3-2-5-2_bap.npz | File Time: [9.30s] | Cumulative Runtime: [684.40s]
SUCCESS: 20181208/20181208/user3/user3-3-1-5-1_doppler.npz -> user3-3-1-5-1_bap.npz | File Time: [8.39s] | Cumulative Runtime: [692.79s]
